2018.08.26.15.19.52, PEER_DISCOVERED, 9000000004, 192.168.43.197
2018.08.26.15.19.55, SUMMARY_VECTOR_RECEIVED, 50528
2018.08.26.15.19.58, PEER_DISCOVERED, 9000000001, 192.168.43.147
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pskc_schema.xsd -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000001.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_9000000004.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pub_volunteer.bgp -1.0
2018.08.26.15.20.00, DEBUG Controller MISSING FILE START DOWNLOAD pri_volunteer.bgp -1.0
2018.08.26.15.20.00, SUMMARY_VECTOR_RECEIVED, 50534
2018.08.26.15.20.00, START_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 0, 682.0, 9000000004
2018.08.26.15.20.00, STOP_FILE_DOWNLOAD, 137fc3f09728b73f1e32574f11578, pri_volunteer.bgp, 682, 682.0, 9000000004
2018.08.26.15.20.00, START_FILE_DOWNLOAD, 78f892972a806bacf273aa1d166145, pub_9000000004.bgp, 0, 313.0, 9000000004
2018.08.26.15.20.00, START_FILE_DOWNLOAD, 1ec55f870ed6c907326a783e63ec65d, pskc_schema.xsd, 0, 27243.0, 9000000004
2018.08.26.15.20.00, STOP_FILE_DOWNLOAD, 78f892972a806bacf273aa1d166145, pub_9000000004.bgp, 313, 313.0, 9000000004
2018.08.26.15.20.00, STOP_FILE_DOWNLOAD, 1ec55f870ed6c907326a783e63ec65d, pskc_schema.xsd, 27243, 27243.0, 9000000004
2018.08.26.15.20.00, START_FILE_DOWNLOAD, 404d33b23819a17878f3ea1e3b26dd95, pub_9000000001.bgp, 0, 313.0, 9000000004
2018.08.26.15.20.00, START_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 0, 312.0, 9000000004
2018.08.26.15.20.00, STOP_FILE_DOWNLOAD, 404d33b23819a17878f3ea1e3b26dd95, pub_9000000001.bgp, 313, 313.0, 9000000004
2018.08.26.15.20.00, STOP_FILE_DOWNLOAD, a0d12ea50d2b8c3738c919e58324, pub_volunteer.bgp, 312, 312.0, 9000000004
2018.08.26.15.20.05, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.05, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.05, DEBUG Controller MISSING FILE START DOWNLOAD pri_manager.bgp -1.0
2018.08.26.15.20.05, DEBUG Controller MISSING FILE START DOWNLOAD pub_manager.bgp -1.0
2018.08.26.15.20.05, DEBUG Controller MISSING FILE START DOWNLOAD pub_user.bgp -1.0
2018.08.26.15.20.05, DEBUG Controller MISSING FILE START DOWNLOAD pri_user.bgp -1.0
2018.08.26.15.20.05, DEBUG Controller MISSING FILE START DOWNLOAD a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50.bgp -1.0
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 0, 680.0, 9000000001
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 0, 683.0, 9000000001
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 5e9b91a4ebf791555e3189ae2e13aaf8, pri_manager.bgp, 680, 680.0, 9000000001
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 0, 313.0, 9000000001
2018.08.26.15.20.05, SUMMARY_VECTOR_RECEIVED, 50528
2018.08.26.15.20.05, START_FILE_DOWNLOAD, a4885181422fcd1bbb34adef96b2b077, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_1.diff, 0, 164.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, a4885181422fcd1bbb34adef96b2b077, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_1.diff, 164, 164.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 035489be7e075265b1032bd58754f, pub_user.bgp, 313, 313.0, 9000000001
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 96966f90c022b52d8d87c187cba6d52e, pri_user.bgp, 683, 683.0, 9000000001
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 33aa77a781c0f48e0679fcf5a41f, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_8.diff, 0, 969.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 33aa77a781c0f48e0679fcf5a41f, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_8.diff, 969, 969.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 9c847c47dae060124cdd7dc09a25ec6, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_4.diff, 0, 370.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, fe7554ae8167c54dc22ee721019c319, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_5.diff, 0, 452.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 0, 310.0, 9000000001
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 30afd89a96cbba217ddc4fbc7e70d817, pub_manager.bgp, 310, 310.0, 9000000001
2018.08.26.15.20.05, START_FILE_DOWNLOAD, d324ad64a21eecff2dd8acab7d7326, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_3.diff, 0, 328.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 27ffd945563d4bdf5445d7b01b4a046, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_8ffc90d8cad3fcfe.png, 0, 425942.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, fc74b99426792fa161de13cf61b251a3, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50.bgp, 0, 808.0, 9000000001
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, d324ad64a21eecff2dd8acab7d7326, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_3.diff, 328, 328.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, fc74b99426792fa161de13cf61b251a3, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50.bgp, 808, 808.0, 9000000001
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 9c847c47dae060124cdd7dc09a25ec6, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_4.diff, 370, 370.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 631e7961fe427669688337feb37f51, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_147153f7a68aca7d.jpeg, 0, 199564.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, b59c915c0ebcbb187972b1d53425bdf, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_6.diff, 0, 501.0, 192.168.43.147
2018.08.26.15.20.05, SUMMARY_VECTOR_RECEIVED, 50534
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, fe7554ae8167c54dc22ee721019c319, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_5.diff, 452, 452.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, b59c915c0ebcbb187972b1d53425bdf, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_6.diff, 501, 501.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 35908956b94a9f014ebc6bb8bffdfb2, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_7.diff, 0, 902.0, 192.168.43.147
2018.08.26.15.20.05, START_FILE_DOWNLOAD, 9c54ba676f26d05e6fa4fd22b51f9d10, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_2.diff, 0, 235.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 9c54ba676f26d05e6fa4fd22b51f9d10, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_2.diff, 235, 235.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 35908956b94a9f014ebc6bb8bffdfb2, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_7.diff, 902, 902.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 27ffd945563d4bdf5445d7b01b4a046, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_8ffc90d8cad3fcfe.png, 425942, 425942.0, 192.168.43.147
2018.08.26.15.20.05, STOP_FILE_DOWNLOAD, 631e7961fe427669688337feb37f51, a775be8d58391a0926ae4caa2f2e15e1_v9000000004_volunteer_50_147153f7a68aca7d.jpeg, 199564, 199564.0, 192.168.43.147
2018.08.26.15.20.10, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.10, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.10, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.10, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.10, DEBUG Controller MISSING FILE START DOWNLOAD de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50.bgp -1.0
2018.08.26.15.20.10, START_FILE_DOWNLOAD, f41e0b280d3b0a77b7e8aec3aa80a1, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50.bgp, 0, 816.0, 9000000004
2018.08.26.15.20.10, START_FILE_DOWNLOAD, cb32fba7d2581e1784d32e7fe5b0682, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_37270c2827987673.png, 0, 448866.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 32ef3d186525129e517f1d18b8de5b66, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_2.diff, 0, 295.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, f41e0b280d3b0a77b7e8aec3aa80a1, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50.bgp, 816, 816.0, 9000000004
2018.08.26.15.20.10, START_FILE_DOWNLOAD, a22773ea851d7b8971c76c75d1aa01b, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_9.diff, 0, 1418.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, cd5c7b7f23479676999c43745e1ad50, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_2a48635345b3d665.png, 0, 728137.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, a1ab80e03d385a6789c5d71aa561a32, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_fe0a301a8d2d902d.jpeg, 0, 197513.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, b0842993529ba868c98224f55d83ccc, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_c356cc51aa571501.jpeg, 0, 203013.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, c9b4673114887e31187b8def3cb0ed4f, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_3.diff, 0, 676.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, c9b4673114887e31187b8def3cb0ed4f, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_3.diff, 676, 676.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, a22773ea851d7b8971c76c75d1aa01b, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_9.diff, 1418, 1418.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 32ef3d186525129e517f1d18b8de5b66, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_2.diff, 295, 295.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 9e667b57e9bf59ff4aba414361ea90fc, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_6.diff, 0, 988.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 9e667b57e9bf59ff4aba414361ea90fc, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_6.diff, 988, 988.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 9833808b56cac7a4a7a5a359cb4334e8, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_505c8933333f81d6.png, 0, 517842.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 1399fffb8b7057a0c674741344247a68, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_1.diff, 0, 219.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 0d94ffc3bb69548bc4ee2e5803023, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_8.diff, 0, 1232.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 3618c3631835a4b85e3a86229396e2c9, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_ab50440039125bb5.png, 0, 329303.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, ebb0991d61ccd6d064e9a63896e62acf, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_4.diff, 0, 727.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, 31522c3ee52029cd30756032cef1cf8d, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_7.diff, 0, 1151.0, 192.168.43.197
2018.08.26.15.20.10, START_FILE_DOWNLOAD, e5fc965e165467d246fd84ec5599181, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_5.diff, 0, 800.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 1399fffb8b7057a0c674741344247a68, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_1.diff, 219, 219.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 0d94ffc3bb69548bc4ee2e5803023, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_8.diff, 1232, 1232.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, ebb0991d61ccd6d064e9a63896e62acf, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_4.diff, 727, 727.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, 31522c3ee52029cd30756032cef1cf8d, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_7.diff, 1151, 1151.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, e5fc965e165467d246fd84ec5599181, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_5.diff, 800, 800.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, b0842993529ba868c98224f55d83ccc, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_c356cc51aa571501.jpeg, 203013, 203013.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, a1ab80e03d385a6789c5d71aa561a32, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_fe0a301a8d2d902d.jpeg, 197513, 197513.0, 192.168.43.197
2018.08.26.15.20.10, STOP_FILE_DOWNLOAD, cb32fba7d2581e1784d32e7fe5b0682, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_37270c2827987673.png, 448866, 448866.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, 3618c3631835a4b85e3a86229396e2c9, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_ab50440039125bb5.png, 329303, 329303.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, 9833808b56cac7a4a7a5a359cb4334e8, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_505c8933333f81d6.png, 517842, 517842.0, 192.168.43.197
2018.08.26.15.20.11, STOP_FILE_DOWNLOAD, cd5c7b7f23479676999c43745e1ad50, de8df37939d97c4913d404b5b459518a_v9000000001_volunteer_50_2a48635345b3d665.png, 728137, 728137.0, 192.168.43.197
2018.08.26.15.20.25, SUMMARY_VECTOR_RECEIVED, 51278
2018.08.26.15.20.26, SUMMARY_VECTOR_RECEIVED, 51274
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, CHECKING OLD LOG FILES IF ANY
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152022.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000001_20180826152016.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000001_20180826151922.txt 9.999999999999998E13
2018.08.26.15.20.30, DEBUG Controller MISSING FILE START DOWNLOAD MapDisarm_Log_9000000004_20180826152002.txt 9.999999999999998E13
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 8824013e7a029fa284c48b5091349b, MapDisarm_Log_9000000001_20180826152016.txt, 0, 1896.0, 9000000001
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 8824013e7a029fa284c48b5091349b, MapDisarm_Log_9000000001_20180826152016.txt, 1896, 1896.0, 9000000001
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 381ee59c6ae411c1d075affce458edcf, MapDisarm_Log_9000000004_20180826152022.txt, 0, 5568.0, 9000000004
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 381ee59c6ae411c1d075affce458edcf, MapDisarm_Log_9000000004_20180826152022.txt, 5568, 5568.0, 9000000004
2018.08.26.15.20.30, START_FILE_DOWNLOAD, f5966069ea8b6dc83219cb7f3b916ec, MapDisarm_Log_9000000004_20180826152002.txt, 0, 5472.0, 9000000001
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, f5966069ea8b6dc83219cb7f3b916ec, MapDisarm_Log_9000000004_20180826152002.txt, 5472, 5472.0, 9000000001
2018.08.26.15.20.30, START_FILE_DOWNLOAD, 62e4383c9c2f2c812bcdc1342d34885, MapDisarm_Log_9000000001_20180826151922.txt, 0, 1796.0, 9000000004
2018.08.26.15.20.30, STOP_FILE_DOWNLOAD, 62e4383c9c2f2c812bcdc1342d34885, MapDisarm_Log_9000000001_20180826151922.txt, 1796, 1796.0, 9000000004
2018.08.26.15.20.35, REMOVING LOGMapDisarm_Log_9000000001_20180826151922.txt
